job_title,job_low_salary,job_high_salary,job_ave_salary,job_company,job_company_tag,job_education,job_experience,company_city,job_type
少儿编程讲师（python/java）,8000,13000,10500.0,童程童美,培训机构已上市10000人以上,本科,经验不限,北京,Java
金融项目Java开发,10000,14000,12000.0,中科软,计算机软件已上市10000人以上,本科,1-3年,北京,Java
Java中高级研发,10000,15000,12500.0,北财在线,计算机软件未融资20-99人,本科,1-3年,北京,Java
Java,6000,12000,9000.0,中科软,计算机软件已上市10000人以上,本科,1-3年,北京,Java
Java大数据方向,12000,24000,18000.0,世纪高通,数据服务不需要融资100-499人,本科,经验不限,北京,Java
java初级开发工程师,7384.615384615385,12000.0,9692.307692307691,千里马招标网,互联网不需要融资500-999人,本科,1年以内,北京,Java
Java,7714.285714285715,12000.0,9857.142857142857,百得思维,计算机软件未融资1000-9999人,本科,1-3年,北京,Java
java后端开发工程师,11000,17000,14000.0,北京南天,计算机软件已上市1000-9999人,本科,经验不限,北京,Java
高级JAVA开发工程师,20000.0,40000.0,30000.0,滴滴,移动互联网D轮及以上1000-9999人,本科,经验不限,北京,Java
Java开发工程师（数据部）,8000,13000,10500.0,拓尔思,互联网已上市1000-9999人,本科,1-3年,北京,Java
java工程师,8000,13000,10500.0,小蜻蜓,互联网未融资20-99人,本科,经验不限,北京,Java
校招-Java研发工程师-优酷,15000,30000,22500.0,阿里巴巴大文娱,互联网已上市1000-9999人,本科,应届生,北京,Java
Java前端,8000,12000,10000.0,金泰亚盛,计算机软件D轮及以上100-499人,本科,1-3年,北京,Java
Java工程师,15000,30000,22500.0,小药药,医疗健康C轮1000-9999人,本科,经验不限,北京,Java
Java开发工程师（2020校招）,10285.714285714286,17142.85714285714,13714.285714285714,新东方在线,在线教育不需要融资500-999人,本科,应届生,北京,Java
对日java开发工程师,7000,12000,9500.0,优灿科技,计算机软件未融资500-999人,学历不限,经验不限,北京,Java
Java开发工程师,8000,13000,10500.0,北京赛鼎,计算机软件不需要融资20-99人,本科,经验不限,北京,Java
中级Java开发工程师,7384.615384615385,12000.0,9692.307692307691,贵州东方国信,计算机软件未融资20-99人,本科,经验不限,北京,Java
Java,7000,14000,10500.0,中科软,互联网已上市10000人以上,本科,1-3年,北京,Java
2020-JAVA开发工程师,10285.714285714286,20571.428571428572,15428.57142857143,高思教育集团,在线教育D轮及以上1000-9999人,本科,应届生,北京,Java
java,8000,10000,9000.0,云客科技,O2O天使轮0-20人,本科,应届生,北京,Java
java运维工程师,8000,10000,9000.0,中科软,计算机软件已上市10000人以上,本科,经验不限,北京,Java
Java助教,7000,12000,9500.0,开课吧,互联网D轮及以上500-999人,本科,1-3年,北京,Java
初级Java工程师,8000,15000,11500.0,华兴资本,互联网金融不需要融资500-999人,本科,应届生,北京,Java
Java研发工程师,10000,15000,12500.0,东信北邮,移动互联网未融资1000-9999人,本科,经验不限,北京,Java
JAVA开发工程师,7000,10000,8500.0,举人在线,移动互联网100-499人,本科,应届生,北京,Java
Java,7000,10000,8500.0,创世比特(北京),移动互联网未融资20-99人,本科,应届生,北京,Java
java开发工程师（20届）,11000,14000,12500.0,思特奇,互联网已上市1000-9999人,本科,应届生,北京,Java
java开发工程师,8000,13000,10500.0,新纽科技,计算机软件未融资500-999人,本科,1-3年,北京,Java
初级软件开发工程师-JAVA,6000,11000,8500.0,中科软,计算机软件已上市10000人以上,本科,经验不限,北京,Java
JAVA-web全栈工程师,15000,18000,16500.0,北京千喜鹤公司,餐饮不需要融资10000人以上,本科,经验不限,北京,Java
Java,10000,15000,12500.0,日升天信,企业服务已上市500-999人,本科,1-3年,北京,Java
Java运维/自动化运维,8000,13000,10500.0,中软国际,计算机软件已上市10000人以上,本科,1-3年,北京,Java
Java开发工程师,7000,12000,9500.0,中科软,计算机软件已上市10000人以上,本科,1-3年,北京,Java
java初级工程师,6000,8000,7000.0,北京澳晨,院校不需要融资100-499人,本科,1-3年,北京,Java
java开发工程师,5000,10000,7500.0,易照,社交网络天使轮0-20人,学历不限,经验不限,北京,Java
Java讲师,8000,10000,9000.0,中斯顿,在线教育未融资20-99人,本科,经验不限,北京,Java
java工程师,10000,15000,12500.0,东华博雅,计算机软件不需要融资1000-9999人,本科,1-3年,北京,Java
JAVA开发工程师,11000,22000,16500.0,慧思背书,计算机软件未融资100-499人,本科,1-3年,北京,Java
java服务器,15000,30000,22500.0,COOLFISH,游戏不需要融资20-99人,本科,经验不限,北京,Java
高级后端（Java）工程师 (MJ000,12000,20000,16000.0,轻课,互联网A轮100-499人,本科,经验不限,北京,Java
Java开发工程师,14000,25000,19500.0,阿尔法科技,计算机软件不需要融资0-20人,本科,经验不限,北京,Java
